000002850,1999,5,4,1,200,0,0,5555,2002,1
000004176,1993,1,5,1,500,0,0,5525,2002,0
000005152,1998,3,2,1,600,0,0,5564,2002,1
000005175,1997,12,3,1,600,0,0,5550,2002,0
000009034,1996,2,3,1,500,0,0,5525,2002,0
000009045,1998,1,4,1,500,0,0,5527,2002,0
000009087,1999,8,2,1,500,0,0,5525,2002,1
000009122,1999,5,5,1,500,0,0,5525,2002,0
000009124,1995,1,7,1,000,0,0,5500,2002,0
000009392,1998,9,2,1,500,0,0,5524,2002,0
000009421,1996,3,5,1,500,0,0,5528,2002,1
000009448,1998,12,4,1,500,0,0,5525,2002,0
000009797,1999,9,3,1,500,0,0,5528,2002,0
000009878,1999,9,4,1,500,0,0,5527,2002,0
000010052,1999,6,2,1,500,0,0,5506,2002,1
000012962,2000,1,1,2,500,0,0,5528,2002,1
000013675,2000,1,7,5,700,0,0,5536,2002,1
000018918,1998,12,4,1,200,0,0,5537,2002,1
000020822,1998,12,2,1,500,0,0,5527,2002,0
000020834,1998,12,2,1,500,0,0,5527,2002,0
000021590,1999,1,5,1,500,0,0,5528,2002,0
000022640,2000,2,2,5,500,0,0,5525,2002,1
000023249,2000,3,5,4,500,0,0,5525,2002,1
000023623,1999,10,3,1,600,0,0,5564,2002,1
000025337,1999,12,1,1,500,0,0,5528,2002,1
000025611,2000,2,4,1,500,0,0,5525,2002,0
000027008,2000,3,1,1,600,1,0,5564,2002,1
000031060,1993,12,5,1,500,0,0,5516,2002,0
000031069,1993,12,5,1,500,0,0,5516,2002,0
000032237,2000,3,2,1,500,0,0,5525,2002,0
000034777,2000,2,5,1,300,1,0,5517,2002,1
000037004,1999,11,2,1,500,0,0,5524,2002,0
000039193,1999,12,5,1,500,0,0,5528,2002,1
000040360,2000,5,5,6,500,0,0,5524,2002,1
000041004,1999,9,3,1,300,0,0,5517,2002,1
000045979,1999,11,2,1,600,0,0,5564,2002,1
000047169,2000,6,5,3,A00,0,0,5502,2002,1
000049409,2000,2,3,1,500,0,0,5524,2002,0
000052081,2000,2,6,3,500,0,0,5524,2002,0
000052471,2000,6,1,1,500,0,0,5524,2002,0
000053544,2000,1,1,6,500,0,0,5524,2002,0
000053549,2000,1,1,6,500,0,0,5524,2002,0
000053551,2000,1,1,6,500,0,0,5524,2002,0
000053560,1998,7,5,6,500,0,0,5525,2002,0
000053585,2000,1,6,1,500,0,0,5525,2002,0
000053601,1999,6,3,6,500,0,0,5525,2002,0
000054179,2000,3,5,1,400,0,0,5518,2002,1
000054204,2000,3,5,1,400,0,0,5518,2002,1
000054596,1997,4,3,1,500,0,0,5526,2002,0
000054603,1999,10,7,2,500,0,0,5525,2002,0
000054841,2000,7,3,6,700,0,0,5536,2002,1
000055670,2000,6,4,1,300,0,0,5517,2002,1
000056931,2000,7,3,1,C00,0,0,5512,2002,0
000064349,1993,9,4,1,600,0,0,5564,2002,1
000065908,1999,10,5,1,500,0,0,5526,2002,1
000066162,1999,11,1,1,200,0,0,5555,2002,1
000066854,2000,8,2,1,300,0,0,5540,2002,1
000067695,2000,8,3,1,500,0,0,5525,2002,1
000068403,2000,9,2,4,500,0,0,5524,2002,1
000070237,1997,12,3,1,A00,0,0,5519,2002,1
