000000003,1999,11,7,3,300,0,0,5540,2000,0
000000016,1999,11,6,3,100,0,0,5551,2000,0
000000020,1999,11,7,1,200,0,0,5537,2000,1
000000035,1999,11,6,5,600,0,0,5564,2000,1
000000109,1999,10,5,5,600,0,0,5550,2000,1
000000131,1999,11,6,1,C00,0,0,5512,2000,1
000000142,1999,11,2,2,600,0,0,5564,2000,1
000000158,1999,11,1,5,A00,0,0,5547,2000,1
000000172,1999,11,1,4,A00,0,0,5547,2000,1
000000174,1999,11,6,5,700,0,0,5508,2000,1
000000192,1998,9,3,3,100,0,0,5554,2000,1
000000207,1999,10,4,4,500,0,0,5556,2000,0
000000216,1999,5,5,4,800,0,0,5538,2000,1
000000230,1999,11,2,3,600,0,0,5564,2000,1
000000235,1999,11,4,4,100,0,0,5503,2000,1
000000239,1999,11,6,6,100,0,0,5503,2000,0
000000277,1999,11,2,1,600,0,0,5564,2000,1
000000284,1999,11,5,3,500,0,0,5528,2000,1
000000286,1999,11,5,6,500,0,0,5528,2000,1
000000288,1999,11,5,5,500,0,0,5528,2000,1
000000289,1999,11,6,2,500,0,0,5528,2000,1
000000302,1999,10,7,4,100,0,0,5559,2000,1
000000309,1999,11,2,6,A00,0,0,5547,2000,1
000000328,1999,11,1,4,A00,0,0,5547,2000,1
000000347,1999,11,1,4,500,0,0,5525,2000,1
000000356,1999,11,1,6,600,0,0,5564,2000,1
000000360,1999,11,5,6,100,0,0,5559,2000,0
000000375,1999,11,1,6,600,0,0,5564,2000,1
000000387,1999,11,2,1,200,0,0,5537,2000,0
000000393,1999,10,5,3,500,0,0,5527,2000,1
000000406,1999,11,2,5,500,0,0,5556,2000,1
000000416,1999,11,3,5,400,0,0,5514,2000,0
000000435,1999,11,6,5,600,0,0,5550,2000,1
000000443,1999,11,1,5,500,0,0,5528,2000,1
000000444,1999,11,3,4,500,0,0,5528,2000,1
000000446,1999,10,4,4,500,0,0,5528,2000,1
000000463,1999,11,3,1,500,0,0,5528,2000,1
000000467,1999,11,2,1,500,0,0,5525,2000,1
000000471,1999,9,2,1,500,0,0,5528,2000,1
000000483,1999,11,5,5,600,0,0,5564,2000,1
000000492,1999,11,6,1,200,0,0,5537,2000,1
000000493,1999,10,1,3,200,0,0,5537,2000,1
000000495,1999,11,1,3,C00,1,0,5512,2000,1
000000509,1999,11,3,5,500,0,0,5523,2000,1
000000525,1999,11,2,1,200,0,0,5537,2000,1
000000543,1999,11,3,6,500,0,0,5523,2000,1
000000547,1999,11,5,4,400,0,0,5544,2000,1
000000553,1999,11,2,1,200,0,0,5537,2000,1
000000554,1999,11,5,6,500,0,0,5527,2000,1
000000556,1999,11,5,4,600,0,0,5564,2000,0
000000559,1999,11,2,1,200,0,0,5537,2000,1
000000566,1999,11,2,1,200,0,0,5537,2000,1
000000579,1999,11,2,5,700,0,0,5508,2000,1
000000581,1999,11,3,1,300,0,0,5540,2000,1
000000586,1999,11,3,1,700,0,0,5522,2000,1
000000588,1999,11,3,6,600,0,0,5564,2000,1
000000595,1999,11,3,2,800,0,0,5538,2000,1
000000615,1999,10,5,2,600,0,0,5564,2000,1
000000618,1999,11,1,1,D00,0,0,5507,2000,0
000000626,1999,11,1,6,C00,1,0,5541,2000,1
000000643,1999,11,5,1,600,0,0,5550,2000,1
000000647,1999,11,4,5,600,0,0,5550,2000,1
000000684,1999,11,2,1,600,0,0,5550,2000,1
000000687,1999,11,5,1,C00,0,0,5541,2000,0
000000689,1999,11,5,1,200,0,0,5537,2000,1
000000696,1999,11,2,5,600,0,0,5550,2000,1
000000697,1999,11,2,4,500,0,0,5527,2000,1
000000699,1999,11,7,6,200,0,0,5537,2000,1
000000702,1999,11,4,2,200,0,0,5537,2000,1
000000703,1999,11,5,3,400,0,0,5518,2000,1
000000715,1999,11,4,2,200,0,0,5537,2000,1
000000724,1999,11,3,2,500,0,0,5527,2000,1
000000725,1999,11,3,5,500,0,0,5523,2000,1
000000766,1999,11,3,5,600,0,0,5565,2000,1
000000799,1999,11,4,5,500,0,0,5527,2000,1
000000824,1999,11,4,6,600,0,0,5550,2000,0
000000825,1999,7,5,1,500,0,0,5524,2000,1
000000840,1999,11,4,3,500,0,0,5561,2000,1
000000843,1999,11,2,5,100,0,0,5559,2000,1
000000850,1999,10,1,1,500,0,0,5525,2000,1
000000872,1999,11,3,4,500,0,0,5527,2000,1
000000879,1999,11,7,5,500,0,0,5523,2000,1
000000892,1999,11,4,5,600,0,0,5565,2000,1
000000914,1999,11,1,2,100,1,0,5503,2000,1
000000936,1999,11,3,5,500,0,0,5527,2000,1
000000948,1999,11,3,6,500,0,0,5527,2000,1
000000962,1999,11,6,3,600,0,0,5564,2000,1
000001000,1999,11,1,1,200,0,0,5537,2000,1
000001004,1999,11,5,1,200,0,0,5537,2000,1
000001011,1999,11,5,1,800,0,0,5505,2000,1
000001014,1999,11,1,3,500,0,0,5524,2000,1
000001015,1999,11,2,3,500,0,0,5524,2000,1
000001025,1999,11,6,4,600,0,0,5564,2000,1
000001026,1999,11,6,6,200,0,0,5537,2000,1
000001049,1999,10,6,6,700,1,0,5508,2000,1
000001055,1999,11,7,2,600,0,0,5564,2000,1
000001106,1999,11,4,4,100,0,0,5554,2000,1
000001115,1999,11,5,2,600,0,0,5550,2000,1
000001117,1999,11,5,5,800,0,0,5505,2000,1
000001124,1999,9,2,3,200,0,0,5537,2000,1
000001131,1999,11,4,4,100,0,0,5554,2000,1
000001140,1999,11,6,4,C00,0,0,5512,2000,1
000001167,1999,11,4,4,100,0,0,5554,2000,1
000001169,1999,11,4,3,100,0,0,5503,2000,1
000001183,1999,11,4,5,400,0,0,5544,2000,1
000001189,1999,11,3,1,800,0,0,5538,2000,1
000001197,1999,11,7,1,300,0,0,5548,2000,1
000001209,1999,11,1,5,200,0,0,5537,2000,1
000001219,1999,11,1,4,200,0,0,5537,2000,1
000001224,1999,11,6,5,500,0,0,5515,2000,1
000001231,1999,11,1,1,100,0,0,5552,2000,1
000001239,1999,11,5,1,800,0,0,5538,2000,1
000001262,1999,11,7,5,700,0,0,5522,2000,1
000001276,1999,11,4,3,100,0,0,5503,2000,1
000001277,1999,1,5,1,800,0,0,5538,2000,1
000001284,1999,11,6,3,400,0,0,5558,2000,1
000001285,1999,11,4,6,600,0,0,5564,2000,1
000001287,1999,11,6,6,300,0,0,5540,2000,0
000001292,1999,11,1,2,100,1,0,5503,2000,1
000001298,1999,9,7,5,500,0,0,5516,2000,1
000001305,1999,11,2,4,200,0,0,5537,2000,0
000001309,1999,11,5,1,400,0,0,5518,2000,1
000001320,1999,11,5,4,300,0,0,5540,2000,1
000001327,1999,11,1,5,300,0,0,5540,2000,0
000001349,1999,11,1,1,200,0,0,5537,2000,1
000001356,1999,11,5,4,800,0,0,5538,2000,1
000001357,1999,11,3,4,600,0,0,5564,2000,1
000001365,1999,11,6,4,A00,0,0,5547,2000,1
000001382,1999,11,1,5,500,0,0,5523,2000,1
000001427,1999,11,3,5,500,0,0,5561,2000,1
000001435,1999,10,7,6,600,0,0,5521,2000,1
000001436,1999,11,3,6,600,1,0,5564,2000,1
000001444,1999,11,4,4,100,0,0,5554,2000,1
000001447,1999,11,3,6,600,1,0,5564,2000,1
000001453,1999,11,2,4,C00,0,0,5512,2000,1
000001455,1999,9,2,1,600,0,0,5564,2000,1
000001482,1999,10,7,1,100,1,0,5559,2000,1
000001508,1999,5,7,1,600,0,0,5542,2000,1
000001510,1999,5,7,1,600,0,0,5542,2000,1
000001511,1999,11,1,6,500,0,0,5526,2000,1
000001512,1999,11,2,2,800,0,0,5538,2000,1
000001514,1999,8,3,2,600,0,0,5542,2000,1
